date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city
2020-08-23,63.0,26.1,25.0,25.4,29.8,27.6,28.8,2020-08-23 00:49:00,2020-08-23 13:35:00,45960.44,0.0,82.1,82.1,0.0,24.0,24.2,42.1,211.0,1.99,0.74,Ahmedabad
2019-09-19,61.0,28.4,22.3,24.6,33.2,26.2,28.9,2019-09-19 00:34:00,2019-09-19 12:45:00,43843.48,29564.81,9.8,9.8,0.0,15.0,11.6,26.3,134.0,14.29,2.88,Hyderabad
2019-07-31,63.0,27.2,25.5,26.3,30.2,28.4,29.3,2019-07-31 00:44:00,2019-07-31 13:45:00,46794.01,0.0,31.1,31.1,0.0,24.0,26.5,52.9,256.0,4.22,1.53,Mumbai
2016-10-03,63.0,31.8,24.6,27.7,40.7,30.4,34.3,2016-10-03 01:01:00,2016-10-03 12:55:00,42772.4,30609.04,24.9,24.9,0.0,17.0,8.9,21.2,157.0,16.44,3.47,Ahmedabad
2022-11-23,1.0,25.9,11.9,18.1,23.7,10.1,16.5,2022-11-23 01:01:00,2022-11-23 11:43:00,38491.15,33449.29,0.0,0.0,0.0,0.0,14.5,27.0,280.0,14.19,3.36,Lucknow
2019-09-21,63.0,29.6,25.0,27.1,36.0,30.6,33.0,2019-09-21 00:57:00,2019-09-21 13:07:00,43781.52,14135.05,5.6,5.6,0.0,10.0,9.1,19.1,115.0,10.16,2.2,Ahmedabad
2015-01-16,3.0,21.9,11.0,16.3,22.2,10.5,16.1,2015-01-16 01:07:00,2015-01-16 11:50:00,38609.91,35412.95,0.0,0.0,0.0,0.0,10.2,22.7,304.0,15.94,2.72,Patna
2022-02-09,61.0,18.7,8.1,14.0,17.3,6.6,13.2,2022-02-09 01:34:00,2022-02-09 12:36:00,39766.28,23378.93,3.6,3.6,0.0,3.0,13.9,28.8,55.0,11.55,1.98,Delhi
2022-04-21,2.0,41.3,25.9,33.5,41.9,25.1,32.2,2022-04-21 00:44:00,2022-04-21 13:32:00,46121.89,38321.19,0.0,0.0,0.0,0.0,16.4,29.5,310.0,24.57,8.09,Ahmedabad
2018-03-13,1.0,35.1,21.8,28.4,35.1,20.5,27.2,2018-03-13 00:55:00,2018-03-13 12:55:00,43193.44,40068.33,0.0,0.0,0.0,0.0,16.3,33.5,122.0,23.35,7.01,Hyderabad
2017-12-07,3.0,28.2,19.4,24.0,27.2,19.8,23.3,2017-12-07 00:45:00,2017-12-07 11:51:00,39989.92,29044.45,0.0,0.0,0.0,0.0,20.6,41.8,42.0,12.93,4.35,Visakhapatnam
2017-07-09,2.0,36.5,28.6,32.5,42.7,31.4,36.9,2017-07-09 00:00:00,2017-07-09 13:52:00,49901.32,43715.23,0.0,0.0,0.0,0.0,22.0,41.4,272.0,22.41,6.31,Delhi
2019-06-12,3.0,34.0,27.5,30.8,40.3,34.7,37.5,2019-06-11 23:21:00,2019-06-12 12:51:00,48598.4,37634.36,0.0,0.0,0.0,0.0,18.0,33.1,154.0,17.05,4.15,Kolkata
2021-10-18,61.0,30.7,25.3,27.9,37.5,31.0,33.9,2021-10-18 00:21:00,2021-10-18 12:03:00,42114.0,28640.64,2.0,2.0,0.0,7.0,15.0,32.4,216.0,16.65,3.37,Visakhapatnam
2017-06-02,0.0,40.0,27.8,34.2,41.0,29.9,35.5,2017-06-01 23:45:00,2017-06-02 13:27:00,49330.46,46182.21,0.0,0.0,0.0,0.0,16.6,31.7,293.0,27.77,8.55,Kanpur
2018-12-09,0.0,30.1,18.6,23.7,30.2,18.5,24.0,2018-12-09 01:30:00,2018-12-09 12:31:00,39642.26,36000.0,0.0,0.0,0.0,0.0,19.6,37.8,342.0,17.17,4.36,Mumbai
2021-08-24,63.0,31.6,25.8,28.2,37.5,31.0,34.2,2021-08-24 00:12:00,2021-08-24 13:05:00,46348.01,19934.38,13.5,13.5,0.0,16.0,15.8,32.0,247.0,13.18,2.86,Lucknow
2015-05-23,1.0,35.9,23.8,28.5,36.6,25.8,29.7,2015-05-23 00:26:00,2015-05-23 13:36:00,47425.3,43200.0,0.0,0.0,0.0,0.0,21.3,47.5,258.0,26.39,7.28,Nashik
2015-08-04,51.0,30.9,24.8,27.7,33.9,28.5,30.8,2015-08-04 00:41:00,2015-08-04 13:49:00,47295.25,29478.32,0.5,0.5,0.0,3.0,18.7,33.8,275.0,14.8,4.0,Ahmedabad
2015-02-01,2.0,27.0,20.9,23.7,29.4,23.5,26.0,2015-02-01 00:59:00,2015-02-01 12:21:00,40940.28,36921.49,0.0,0.0,0.0,0.0,19.0,33.8,80.0,16.14,3.29,Visakhapatnam
2015-08-06,51.0,31.9,26.1,29.1,38.3,32.0,35.3,2015-08-05 23:40:00,2015-08-06 12:45:00,47099.47,38061.56,0.8,0.8,0.0,5.0,8.0,18.7,205.0,19.27,4.17,Howrah
2017-02-03,0.0,25.7,14.5,19.6,25.5,14.9,19.5,2017-02-03 00:44:00,2017-02-03 11:56:00,40278.76,37524.53,0.0,0.0,0.0,0.0,14.5,32.0,347.0,19.38,3.86,Howrah
2023-03-21,61.0,29.0,22.3,25.8,33.4,25.7,30.0,2023-03-21 00:30:00,2023-03-21 12:38:00,43654.8,39071.0,6.1,6.1,0.0,9.0,21.7,42.5,214.0,19.71,3.95,Visakhapatnam
2019-06-09,51.0,31.1,21.1,25.3,35.5,22.5,27.8,2019-06-09 00:22:00,2019-06-09 13:14:00,46331.39,42763.31,0.3,0.3,0.0,1.0,17.8,36.0,224.0,25.28,5.58,Bengaluru
2021-10-02,61.0,32.1,25.2,28.0,38.2,30.9,33.9,2021-10-02 00:31:00,2021-10-02 12:24:00,42747.3,37905.57,2.6,2.6,0.0,6.0,13.1,29.5,280.0,17.02,3.65,Kanpur
2019-12-13,2.0,26.9,14.2,20.5,27.5,14.3,20.9,2019-12-13 01:30:00,2019-12-13 12:26:00,39375.38,36000.0,0.0,0.0,0.0,0.0,13.0,23.8,307.0,15.81,3.47,Nashik
2022-01-28,0.0,30.7,17.3,23.5,31.5,16.7,22.2,2022-01-28 01:43:00,2022-01-28 12:59:00,40523.75,37819.06,0.0,0.0,0.0,0.0,17.8,32.8,20.0,19.29,5.46,Mumbai
2020-06-30,61.0,30.7,23.6,26.8,36.0,28.0,31.3,2020-06-30 00:15:00,2020-06-30 13:24:00,47333.63,34391.96,4.8,4.8,0.0,9.0,11.8,21.2,203.0,16.68,3.67,Hyderabad
2021-03-01,0.0,30.1,16.0,22.4,29.6,13.4,20.9,2021-03-01 01:02:00,2021-03-01 12:39:00,41874.7,37214.84,0.0,0.0,0.0,0.0,14.9,27.7,311.0,19.82,5.4,Kanpur
2015-08-20,63.0,33.5,26.5,29.5,38.9,30.6,34.4,2015-08-20 00:27:00,2015-08-20 12:57:00,45035.64,40846.43,11.4,11.4,0.0,6.0,22.1,34.2,197.0,22.66,5.39,Chennai
2017-01-22,0.0,24.0,11.1,17.5,23.2,9.9,16.7,2017-01-22 01:06:00,2017-01-22 11:55:00,38970.85,36079.12,0.0,0.0,0.0,0.0,13.7,27.7,276.0,17.34,3.31,Patna
2021-02-05,0.0,27.5,12.7,20.2,28.2,11.7,20.1,2021-02-05 00:43:00,2021-02-05 11:56:00,40411.86,36957.71,0.0,0.0,0.0,0.0,11.3,16.2,35.0,17.81,3.63,Kolkata
2019-04-02,51.0,26.8,18.5,22.0,29.8,19.8,23.7,2019-04-01 23:43:00,2019-04-02 12:09:00,44815.38,32871.01,0.6,0.6,0.0,3.0,26.9,53.3,105.0,14.6,3.16,Guwahati
2019-05-22,2.0,36.9,28.4,31.8,43.4,33.9,37.1,2019-05-21 23:24:00,2019-05-22 12:42:00,47936.7,43070.19,0.0,0.0,0.0,0.0,21.2,41.8,189.0,23.86,6.36,Howrah
2016-01-18,2.0,21.1,8.0,15.1,21.2,6.6,14.4,2016-01-18 01:28:00,2016-01-18 12:09:00,38507.13,35127.91,0.0,0.0,0.0,0.0,8.0,15.5,17.0,15.22,2.61,Kanpur
2015-08-02,2.0,32.8,26.9,29.8,38.6,31.3,34.1,2015-08-02 00:06:00,2015-08-02 13:00:00,46455.4,37201.5,0.0,0.0,0.0,0.0,16.8,32.4,234.0,20.49,5.26,Visakhapatnam
2015-07-03,51.0,29.3,22.1,25.1,31.1,25.3,27.5,2015-07-03 00:32:00,2015-07-03 13:45:00,47580.0,41080.4,0.7,0.7,0.0,4.0,17.5,42.1,257.0,19.31,4.32,Pune
2015-12-20,1.0,28.8,17.4,22.6,29.3,18.1,23.2,2015-12-20 01:34:00,2015-12-20 12:29:00,39316.14,36000.0,0.0,0.0,0.0,0.0,13.2,28.4,306.0,17.33,3.82,Nashik
2015-12-08,3.0,24.1,15.9,19.7,24.9,15.4,19.8,2015-12-08 00:59:00,2015-12-08 12:22:00,40993.31,37739.7,0.0,0.0,0.0,0.0,12.0,30.6,76.0,15.6,3.21,Bengaluru
2021-06-26,63.0,32.7,25.8,29.6,38.6,31.2,35.4,2021-06-25 23:54:00,2021-06-26 13:05:00,47455.01,40920.62,11.0,11.0,0.0,17.0,14.2,33.8,220.0,21.12,4.7,Visakhapatnam
