date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,Index Value,Air Quality,Prominent Pollutant
2022-01-30,0.0,21.2,8.9,14.0,19.2,6.9,12.2,2022-01-30 01:24:00,2022-01-30 12:19:00,39314.1,35747.05,0.0,0.0,0.0,0.0,17.3,32.8,278.0,16.36,2.83,Kanpur,129,Moderate,"PM10, PM2.5"
2018-07-22,3.0,36.8,28.7,31.6,37.5,30.1,33.5,2018-07-22 00:22:00,2018-07-22 13:08:00,46001.8,30343.79,0.0,0.0,0.0,0.0,23.5,47.5,253.0,16.86,6.46,Chennai,92,Satisfactory,PM2.5
2016-07-14,63.0,33.9,26.4,29.2,41.3,32.5,35.9,2016-07-14 00:02:00,2016-07-14 13:45:00,49313.13,30460.12,20.3,20.3,0.0,16.0,8.8,16.9,243.0,15.44,3.47,Agra,181,Moderate,PM2.5
2022-10-05,63.0,27.5,23.5,24.9,32.1,27.9,29.3,2022-10-05 00:30:00,2022-10-05 12:18:00,42470.62,6312.94,41.8,41.8,0.0,24.0,15.3,30.2,98.0,6.85,1.47,Lucknow,42,Good,"CO, O3, PM2.5"
2018-04-17,0.0,39.8,26.3,32.4,39.1,24.9,31.2,2018-04-17 00:47:00,2018-04-17 13:30:00,45821.03,42611.27,0.0,0.0,0.0,0.0,20.3,41.0,321.0,25.76,8.73,Ahmedabad,88,Satisfactory,OZONE
2017-02-28,1.0,33.9,17.3,26.3,32.7,18.2,25.1,2017-02-28 01:04:00,2017-02-28 12:52:00,42449.61,39889.46,0.0,0.0,0.0,0.0,14.7,34.2,58.0,24.61,6.39,Hyderabad,219,Poor,"O3, PM2.5"
2020-03-20,51.0,29.9,22.5,26.2,35.4,25.9,30.6,2020-03-20 00:31:00,2020-03-20 12:38:00,43638.74,39600.0,0.1,0.1,0.0,1.0,15.2,32.4,214.0,21.87,4.47,Visakhapatnam,77,Satisfactory,PM10
2023-03-06,53.0,36.4,22.4,28.1,35.6,21.4,26.9,2023-03-06 01:27:00,2023-03-06 13:14:00,42476.25,36000.0,0.8,0.8,0.0,2.0,22.6,43.6,135.0,18.25,6.32,Ahmedabad,170,Moderate,"NO2, PM2.5"
2022-10-30,1.0,29.8,22.2,25.5,31.9,22.9,27.0,2022-10-30 00:25:00,2022-10-30 11:56:00,41468.23,38084.76,0.0,0.0,0.0,0.0,14.7,30.6,42.0,20.82,4.87,Visakhapatnam,125,Moderate,PM2.5
2017-02-05,3.0,25.1,14.6,20.1,27.5,14.6,21.6,2017-02-05 01:00:00,2017-02-05 12:06:00,39924.8,35715.84,0.0,0.0,0.0,0.0,6.2,15.5,163.0,18.02,3.2,Patna,399,Very Poor,PM2.5
2015-10-16,1.0,31.0,24.3,27.8,36.4,29.5,32.7,2015-10-16 00:29:00,2015-10-16 12:19:00,42616.37,39538.5,0.0,0.0,0.0,0.0,13.2,25.6,105.0,20.77,4.47,Chennai,72,Satisfactory,"O3, PM2.5"
