city_name,datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Rājkot,1991-12-30,0.0,25.3,13.3,18.9,23.0,10.0,16.4,1991-12-30 01:55:00,1991-12-30 12:42:00,38817.71,35239.12,0.0,0.0,0.0,0.0,9.8,22.7,35.0,17.03,4.02
Madurai,1991-01-05,2.0,30.1,19.9,25.0,32.4,22.7,27.8,1991-01-05 01:05:00,1991-01-05 12:39:00,41627.86,37041.59,0.0,0.0,0.0,0.0,10.0,28.4,67.0,18.08,3.92
Kolkāta,2003-03-08,0.0,30.5,14.4,22.7,29.5,13.8,22.0,2003-03-08 00:22:00,2003-03-08 12:12:00,42642.36,39183.75,0.0,0.0,0.0,0.0,10.7,27.0,287.0,23.99,5.51
Bilāspur,1994-12-13,0.0,25.4,12.0,18.5,24.5,9.3,16.7,1994-12-13 01:01:00,1994-12-13 11:49:00,38874.63,35761.47,0.0,0.0,0.0,0.0,10.8,22.3,18.0,17.05,3.62
Ghāziābād,2018-09-28,1.0,32.2,22.6,27.2,38.0,26.1,32.0,2018-09-28 00:41:00,2018-09-28 12:40:00,43104.05,39324.92,0.0,0.0,0.0,0.0,9.1,25.6,329.0,19.23,4.13
Ghāziābād,2016-02-22,0.0,25.9,13.0,18.6,22.9,10.0,16.3,2016-02-22 01:23:00,2016-02-22 12:44:00,40933.71,36944.23,0.0,0.0,0.0,0.0,23.8,44.3,292.0,20.29,4.77
Kolkāta,2006-03-09,1.0,34.7,22.3,28.9,38.2,25.9,31.9,2006-03-09 00:20:00,2006-03-09 12:13:00,42743.59,39210.98,0.0,0.0,0.0,0.0,7.9,18.7,270.0,21.85,5.08
Pimpri-Chinchwad,1988-03-26,1.0,29.8,16.3,22.5,30.2,17.2,22.7,1988-03-26 01:04:00,1988-03-26 13:17:00,44008.51,41454.63,0.0,0.0,0.0,0.0,19.7,43.9,278.0,25.28,5.69
Vishākhapatnam,1990-09-05,53.0,30.3,25.8,27.3,34.1,28.6,30.6,1990-09-05 00:13:00,1990-09-05 12:38:00,44668.13,30589.82,1.8,1.8,0.0,3.0,24.9,40.3,231.0,15.76,3.73
Chennai,2006-03-05,2.0,31.3,23.1,26.8,36.5,27.1,31.0,2006-03-05 00:52:00,2006-03-05 12:48:00,42941.27,37804.5,0.0,0.0,0.0,0.0,16.2,31.0,139.0,22.2,4.84
