date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-08-10,Puducherry,1,Satisfactory,52,PM10
2023-02-28,Muzaffarpur,3,Poor,297,PM2.5
2021-09-07,Meerut,2,Satisfactory,75,PM10
2022-06-26,Kochi,1,Good,46,PM10
2017-12-08,Kanpur,1,Satisfactory,89,NO2
2019-09-05,Chandrapur,2,Good,41,"OZONE, PM10"
2022-11-11,Yamunanagar,1,Very Poor,304,PM2.5
2021-03-29,Hajipur,1,Moderate,170,PM10
2021-12-04,Thane,1,Moderate,187,O3
2019-02-28,Thiruvananthapuram,1,Satisfactory,77,OZONE
2023-01-15,Dewas,1,Moderate,174,PM2.5
2022-09-25,Patiala,1,Satisfactory,53,O3
2022-06-19,Eloor,1,Satisfactory,56,PM10
2023-04-21,Hanumangarh,1,Moderate,117,PM10
2022-11-19,Maihar,1,Good,44,PM10
2023-11-28,Tirupur,1,Satisfactory,61,PM10
2022-08-02,Mandikhera,1,Good,20,O3
2023-08-08,Sasaram,1,Satisfactory,51,PM10
2018-02-20,Vijayawada,1,Moderate,103,PM10
2015-11-06,Varanasi,1,Very Poor,307,PM2.5
2022-07-09,Raichur,1,Satisfactory,54,CO
2022-05-25,Prayagraj,3,Moderate,133,PM10
2023-04-19,Nalbari,1,Moderate,132,PM10
2021-11-25,Kohima,1,Satisfactory,94,PM2.5
2021-12-27,Manesar,1,Very Poor,329,PM2.5
2023-08-21,Rohtak,1,Satisfactory,53,PM2.5
2023-06-19,Surat,1,Good,35,PM2.5
2023-08-28,Kashipur,1,Moderate,124,PM10
2023-09-22,Narnaul,1,Moderate,139,CO
2023-10-03,Dhanbad,1,Satisfactory,80,PM2.5
2021-10-27,Indore,1,Moderate,148,PM10
2022-06-24,Srinagar,1,Satisfactory,83,PM10
2018-05-17,Faridabad,1,Poor,231,PM2.5
2022-11-23,Ambala,1,Moderate,138,PM2.5
2021-11-24,GandhiNagar,3,Satisfactory,74,"PM10, PM2.5"
2023-03-30,Madikeri,1,Good,39,PM10
2023-08-05,Hyderabad,10,Satisfactory,62,"NO2, PM10"
2018-03-11,Jorapokhar,1,Moderate,130,PM10
2021-07-25,Delhi,33,Moderate,107,"O3, PM10, PM2.5"
2023-05-21,Thiruvananthapuram,2,Good,34,PM10
2020-11-13,Yamunanagar,1,Very Poor,347,PM2.5
2020-12-25,Agartala,1,Satisfactory,94,PM2.5
